,date,title,article,thumbnail,url,author
22,"Mar 02, 2022",We published a story: “Astellas’ VALUE powered by people—New Challenge of HR.”,"TOKYO, May 19, 2022 – Astellas Pharma Inc. (TSE: 4503, President and CEO: Kenji Yasukawa, Ph.D., “Astellas”) today announced results from a pooled analysis of patients with symptomatic anemia associated with chronic kidney disease (CKD) who are non-dialysis-dependent (NDD) and incident dialysis-dependent (IDD) from four Phase 3 studies evaluating the safety and efficacy of EVRENZO™ (roxadustat). These data presented during a mini-oral session at the 59th European Renal Association (ERA) Congress, taking place between May 19–22, 2022, showed no evidence of an increased risk of cardiovascular events or mortality with roxadustat compared with standard of care, erythropoiesis-stimulating agents (ESAs).",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25251,Astellas
23,"Mar 01, 2022",Astellas Announces Status of Acquisition of Own Shares,"Roxadustat was non-inferior to ESA for risk of a major adverse cardiovascular event (MACE) (95% confidence interval [CI]: 0.61, 1.02) and a major adverse cardiovascular event plus congestive heart failure or unstable angina requiring hospitalization (MACE+) (95% CI: 0.62, 0.98) with a consistent finding for all-cause mortality (ACM) (95% CI: 0.57, 1.05). Hazard ratios for MACE, MACE+ and ACM vs ESA were 0.79, 0.78 and 0.78, respectively, favoring roxadustat. Although treatment-emergent adverse events occurred commonly in both the roxadustat and ESA groups, patients rarely discontinued either study drug because of an adverse event.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25216,Astellas
24,"Mar 01, 2022",Astellas and Seagen Announce CHMP Confirms Positive Opinion for PADCEV™ (enfortumab vedotin) in Locally Advanced or Metastatic Urothelial Cancer,"“I’ve seen first-hand the effect anemia can have on those living with CKD, and it impacts almost every aspect of their daily lives,” said Professor Jonathan Barratt, Ph.D., FRCP, Consultant Nephrologist at the University of Leicester, United Kingdom. “I’m pleased to present these data which demonstrate that, as an alternative oral treatment that controls anemia with a reduced need for IV iron compared to standard of care, roxadustat has the potential to alleviate the burden many living with this condition have – with no risk of increase in cardiovascular events or mortality when compared with the existing standard of care.”",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25246,Astellas
25,"Mar 01, 2022","Affinivax Reacquires Rights from Astellas for ASP3772, a Novel 24-valent Streptococcus pneumoniae Vaccine Candidate from Affinivax’s MAPS™ Platform","As a first-in-class orally administered inhibitor of hypoxia-inducible factor prolyl hydroxylase (HIF-PH), roxadustat increases hemoglobin levels with a mechanism of action that is different from that of ESAs. Roxadustat activates the body’s natural protective response to reduced oxygen levels in the blood. This response involves the regulation of multiple, complementary processes that promote a coordinated erythropoietic response and increase the blood’s oxygen-carrying capacity.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25256,Astellas
26,"Feb 28, 2022",Updated “Sustainability Meeting” Section,"“Astellas is dedicated to addressing unmet medical needs and providing innovative solutions in nephrology,” said Ahsan Arozullah, Senior Vice President and Head of Development Therapeutic Areas, Astellas. “These data presented today add to the extensive clinical evidence available for roxadustat and provide further assurance to the nephrology community of the positive impact roxadustat can have for patients with symptomatic anemia associated with CKD.”",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25266,Astellas
27,"Feb 15, 2022",Astellas and Seagen Announce Initial Results of PADCEV® (enfortumab vedotin-ejfv) in Patients with Muscle-Invasive Bladder Cancer Not Eligible for Cisplatin Chemotherapy,Additional Astellas mini-oral presentations at the 59th ERA Congress 2022 include:,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25146,Astellas
28,"Feb 08, 2022",Astellas Announces Management Structure,Title: Cardiovascular Safety of Roxadustat Versus Erythropoiesis-Stimulating Agents for Treatment of Anemia in Patients With Chronic Kidney Disease Incident to or Not Receiving Dialysis: Pooled subgroup Analysis of Four Phase 3 Studies (Abstract 2379),https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/system/files/news/2022-02/20220208_en_2_2.pdf,Astellas
29,"Feb 08, 2022",Astellas Announces Positive Safety Data from the FORTIS Study of AT845 in Adults with Late-Onset Pompe Disease,"Presenter: Jonathan Barratt, University of Leicester, United Kingdom",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/25006,Astellas
30,"Feb 04, 2022",Astellas Initiates Charitable Donations to Support Four Organizations Focused on Improving Access to Quality Cancer Care and Additional Areas of Urgent Need,Title: Iron Parameters in Patients Treated With Roxadustat for Anemia Associated With Chronic Kidney Disease: Post Hoc Analysis of the Non-Dialysis-Dependent or Incident Dialysis Population From Four Phase 3 Studies (Abstract 1008),https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24916,Astellas
31,"Feb 02, 2022",Astellas Announces Acquisition of Own Shares and Cancellation of Treasury Stock,"Presenter: Luca De Nicola, University of Campania, Naples, Italy",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24931,Astellas
32,"Feb 02, 2022",Posted Financial Results for 3Q/FY2021,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24941,Astellas
33,"Jan 21, 2022",We posted the presentation material for media briefing on Digital Transformation of Astellas Pharma.,Click below for a copy of the full press release,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24886,Astellas
34,"Dec 20, 2021",Astellas and Seagen Receive Positive CHMP Opinion for PADCEV™ (enfortumab vedotin) in Locally Advanced or Metastatic Urothelial Cancer,Follow us on social media,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24806,Astellas
35,"Dec 17, 2021",Astellas Updates “Contact for Potential Acquisition of Astellas’ R&D Programs” Section on its Corporate Website,Search,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24801,Astellas
36,"Dec 09, 2021",Astellas Changes its Corporate Website Structure,"The Focus Area, where we put our efforts, consists of combinations of three components: 1) biology, 2) modality/technology, 3) diseases.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24771,Astellas
37,"Dec 07, 2021",Updated “R&D meeting” Section,"Astellas monitors Focus Areas from biology perspectives, modality/technology, and disease to identify promising areas for investment.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24766,Astellas
38,"Dec 06, 2021",Astellas Applied for Selection of “Prime Market” segment of the Tokyo Stock Exchange,"To identify and prioritize the issues that are most important to society and our business, we carry out a materiality assessment and use it...",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24756,Astellas
39,"Dec 02, 2021",Astellas and Dyno Therapeutics Announce Research Collaboration to Develop Next-Generation AAV Gene Therapy Vectors for Skeletal and Cardiac Muscle,"Stories about how Astellas members work to create innovation, as well as achieve business and sustainability strategic goals.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24751,Astellas
40,"Dec 01, 2021",Astellas to Present Research on FLT3 Mutation-Positive Acute Myeloid Leukemia – from Diagnosis to Relapse – at 2021 American Society of Hematology Annual Meeting,"This website contains information about products that may not be available in all countries, or may be available under different trademarks, for different indications, or in different dosages. Nothing contained herein should be considered a solicitation, promotion or advertisement for any drug including the ones under development on this web site.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24741,Astellas
41,"Nov 30, 2021",We published a story: “Patient centricity at Astellas—all about action.”,Any information on the products contained herein is not intended to provide medical advice nor should be used as a substitute for the advice provided by your physician or other healthcare provider.,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24731,Astellas
42,"Nov 26, 2021",Annual Report 2021 is now available.,"In this Website, information called Cookies are stored in the PC used to browse this site, for the purpose of providing better content. Please read our Terms of Use for more information on our use of cookies. By using this site, you accept our use of cookies.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24656,Astellas
43,"Nov 25, 2021",Pivotal Phase 3 Trial for Pediatric Praziquantel Completes with Positive Results,Three abstracts provide additional insights into roxadustat safety profile and effect on iron parameters,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17456,Astellas
44,"Nov 19, 2021",Astellas’ Efforts Against the Spread of the Coronavirus Disease (COVID-19),"TOKYO, May 16, 2022 – Astellas Pharma Inc. (TSE: 4503, President and CEO: Kenji Yasukawa, Ph.D., “Astellas”) announced the presentation of new roxadustat data at the 59th European Renal Association (ERA) Congress, taking place May 19–22, 2022.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17441,Astellas
45,"Nov 15, 2021",Astellas and Pantherna Enter into Technology Evaluation Agreement for Research of mRNA-based Regenerative Medicine,"Two presentations focus on pooled analyses from the comprehensive ALPINE Phase 3 clinical trial program, reinforcing the overall safety profile of roxadustat with further details on cardiovascular safety. Both compare roxadustat with current standard of care, erythropoietin-stimulating agents (ESAs), for patients with symptomatic anemia associated with chronic kidney disease (CKD) not receiving dialysis or just starting dialysis (incident dialysis). An evaluation of iron metabolism parameters and its clinical implications in patients with anemia of CKD in a similar population will also be presented.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17386,Astellas
46,"Oct 29, 2021",Posted Financial Results for 2Q/FY2021,"“At Astellas, we strive to improve outcomes for patients most in need of innovative new treatments,” said Ahsan Arozullah, Senior Vice President and Head of Development Therapeutic Areas, Astellas. “The clinical research being presented at the ERA Congress further validates the safety and efficacy profile of roxadustat as a new treatment option for those living with anemia of CKD and demonstrates Astellas’ continued commitment to this community of patients.”",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24526,Astellas
47,"Oct 26, 2021",We published our corporate brand movie on the VISION section.,Mini-Oral Presentations,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17301,Astellas
48,"Oct 20, 2021",Astellas Receives “2021 Award for Excellence in Corporate Disclosure” from the Securities Analysts Association of Japan,"Presentations and abstracts are available online starting Thursday, May 19, 2022, at 8:00 a.m. CEST, when all prerecorded presentations are published on the congress platform.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17291,Astellas
49,"Oct 13, 2021",Astellas and Seagen Complete Enrollment in EV-103 Trial Cohort K Combining PADCEV® (enfortumab vedotin-ejfv) with Pembrolizumab as First-Line Treatment for Advanced Urothelial Cancer,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17271,Astellas
50,"Oct 11, 2021","World's First Use of Environmentally Friendly Biomass-based Plastic for Blister Packages, the Primary Packaging for Drugs",Click below for a copy of the full press release,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17266,Astellas
51,"Oct 01, 2021","Juntendo University and Astellas Establish ""Direct Reprogramming Regenerative Medicine Course"" for Scientific Breakthroughs",Follow us on social media,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17261,Astellas
52,"Sep 30, 2021",Astellas Announces the Publication of New Contents Related to its Corporate Strategic Plan 2021 and an Update to its About Section,Search,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17256,Astellas
53,"Sep 27, 2021",Japan’s MHLW Approves PADCEV® (enfortumab vedotin) for Advanced Urothelial Cancer,"The Focus Area, where we put our efforts, consists of combinations of three components: 1) biology, 2) modality/technology, 3) diseases.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17206,Astellas
54,"Sep 24, 2021",Tohoku University and Astellas Establish Second Phase of Comprehensive Industry-Academia Collaboration with Aim of Creating Innovative Healthcare Solutions,"Astellas monitors Focus Areas from biology perspectives, modality/technology, and disease to identify promising areas for investment.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17181,Astellas
55,"Sep 22, 2021",Astellas to Present Fezolinetant 12-Week Findings from Phase 3 SKYLIGHT 2™ Trial in Oral Session at The North American Menopause Society 2021 Annual Meeting,"To identify and prioritize the issues that are most important to society and our business, we carry out a materiality assessment and use it...",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17176,Astellas
56,"Sep 21, 2021",Science-based Exercise at Home with Fit-eNce HomeTM Pilot Sales Begins Today,"Stories about how Astellas members work to create innovation, as well as achieve business and sustainability strategic goals.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17171,Astellas
57,"Sep 21, 2021",Astellas’ and Pfizer’s XTANDI® (enzalutamide) Reduced Risk of Death by 34% in Men with Metastatic Hormone-Sensitive Prostate Cancer in Phase 3 ARCHES Study,"This website contains information about products that may not be available in all countries, or may be available under different trademarks, for different indications, or in different dosages. Nothing contained herein should be considered a solicitation, promotion or advertisement for any drug including the ones under development on this web site.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17166,Astellas
58,"Sep 14, 2021",Astellas Reports Update to September 1 Announcement on the ASPIRO Clinical Trial of AT132 in Patients with X-linked Myotubular Myopathy,Any information on the products contained herein is not intended to provide medical advice nor should be used as a substitute for the advice provided by your physician or other healthcare provider.,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17161,Astellas
59,"Sep 10, 2021",Astellas Updates “Contact for Potential Acquisition of Astellas’ R&D Programs” Section on its Corporate Website,"In this Website, information called Cookies are stored in the PC used to browse this site, for the purpose of providing better content. Please read our Terms of Use for more information on our use of cookies. By using this site, you accept our use of cookies.",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17131,Astellas
60,"Sep 02, 2021","Astellas, Nitto, and M. Heart Partnering for ECG testing service",Abstracts represent exciting research progress across four cancers where patients have limited treatment options,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24266,Astellas
61,"Sep 01, 2021",Astellas Provides Update on ASPIRO Clinical Trial of AT132 in Patients with X-linked Myotubular Myopathy,"TOKYO, May 12, 2022 – Astellas Pharma Inc. (TSE: 4503, President and CEO: Kenji Yasukawa, Ph.D., “Astellas”) will share new research during the 2022 American Society of Clinical Oncology (ASCO) Annual Meeting from June 3-7 and the European Hematology Association (EHA) 2022 Hybrid Congress from June 9-12. A total of 13 abstracts from the company’s expanding portfolio of approved and investigational therapies will be presented across both meetings, underscoring the company’s commitment to advancing treatment options for advanced and rare cancers, including prostate, pancreatic and urothelial cancer, as well as acute myeloid leukemia (AML).",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24261,Astellas
62,"Aug 31, 2021",Astellas Announces Personnel Changes,"“While a robust Phase 3 clinical trial program in gastric/gastroesophageal junction cancer for our investigational therapy zolbetuximab is well underway, the ASCO Annual Meeting will include the first trial-in-progress presentation from our expanded Phase 2 clinical trial in Claudin 18.2-positive pancreatic cancer,” said Ahsan Arozullah, M.D., M.P.H., Senior Vice President and Head of Development Therapeutic Areas, Astellas. “The progress of these clinical studies reflects our enthusiasm to continue investigating the potential to benefit patients by targeting the emerging Claudin 18.2 biomarker.”",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/system/files/news/2021-08/20210831_en_1_0.pdf,Astellas
63,"Aug 31, 2021",Astellas Launches its Corporate Website’s New Modalities～Approach for Cell and Gene Therapies～ Section,"“At Astellas, our mission is to not only advance innovative science, but to create value for patients and the oncology community,” said Erhan Berrak, M.D., Vice President of Global Medical Affairs, Oncology, Astellas. “Our advanced prostate cancer data at ASCO, which range from new analyses of our ARCHES pivotal trial in metastatic hormone-sensitive prostate cancer to data on patient preferences and prescriber treatment decisions, will help inform discussions between patients and providers about novel hormone therapies.”",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24246,Astellas
64,"Aug 20, 2021",Astellas Receives European Commission Approval for First-in-Class EVRENZOTM (roxadustat) for Adult Patients with Symptomatic Anemia of Chronic Kidney Disease,Highlights at the 2022 ASCO Annual Meeting include:,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24231,Astellas
65,"Aug 06, 2021",Astellas Reforms Research Organization,Highlights at the EHA 2022 Hybrid Congress include:,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24221,Astellas
66,"Jul 30, 2021",Posted Financial Results for 1Q/FY2021,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24201,Astellas
67,"Jul 30, 2021",Astellas and Minovia Therapeutics Announce Strategic Collaboration for Novel Mitochondrial Cell Therapy Programs,Astellas Presentations at 2022 ASCO Annual Meeting,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17096,Astellas
68,"Jul 26, 2021",We published a story: “Cell therapy—unlocking groundbreaking potential.”,Enfortumab Vedotin,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17081,Astellas
69,"Jul 21, 2021",Announcement and Apology Regarding Web Access Failure,"Type: Poster Discussion     Abstract Number: 4516    Date: Saturday, June 4, 2022    Poster Session: Genitourinary Cancer – Kidney and Bladder    Presentation: 1:15 – 4:15 p.m. CDT",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17086,Astellas
70,"Jul 16, 2021",Begun Providing Holter ECG Analysis Service using AI,Poster Discussion Session: Genitourinary Cancer – Kidney and Bladder    Presentation: 4:30 – 6 p.m. CDT,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17076,Astellas
71,"Jul 13, 2021",Astellas Named to FTSE4Good Index Series for 10 Consecutive Years,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17071,Astellas
72,"Jul 13, 2021","Affinivax and Astellas Present Safety and Immunogenicity Data from Phase 2 Study of ASP3772, a Novel 24 valent MAPS™ Vaccine for Streptococcus pneumoniae",Enzalutamide,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17066,Astellas
73,"Jul 12, 2021",U.S. FDA Grants Regular Approval and Expands Indication for PADCEV® (enfortumab vedotin-ejfv) for Patients with Locally Advanced or Metastatic Urothelial Cancer,Radiographic progression in the absence of prostate-specific antigen (PSA) progression in patients with metastatic hormone-sensitive prostate cancer    (mHSPC): Post hoc analysis of ARCHES,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17061,Astellas
74,"Jul 02, 2021","Astellas updates EHS (Environment, Health and Safety) Website","Type: Poster Presentation    Abstract Number: 5069    Date: Monday, June 6, 2022    Poster Session: Genitourinary Cancer—Prostate, Testicular, and Penile    Presentation: 1:15 – 4:15 p.m. CDT",https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17056,Astellas
75,"Jun 28, 2021",Astellas Receives Positive CHMP Opinion for EVRENZOTM (roxadustat) for Adult Patients with Symptomatic Anemia of Chronic Kidney Disease,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/16936,Astellas
76,"Jun 17, 2021",Notice Regarding Impairment Loss Following the Termination of DNA Vaccine ASP0892 Development,Zolbetuximab,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17046,Astellas
77,"Jun 16, 2021","Astellas Transfers Five Legacy Products in Europe, Russia, CIS and Asia to Cheplapharm",,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17036,Astellas
78,"Jun 08, 2021",New Research Reflects Astellas’ Commitment to Acute Myeloid Leukemia at EHA 2021 Virtual Congress,Astellas Presentations at EHA 2022 Hybrid Congress,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17021,Astellas
79,"Jun 08, 2021",Astellas Launches its Corporate Website’s Agile Drug Discovery Operations Section,Gilteritinib,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17026,Astellas
80,"Jun 03, 2021",Reviewing capabilities for sustainable growth,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/17016,Astellas
81,"May 27, 2021",Posted Notice of Convocation of the 16th Term Annual Shareholders Meeting,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/24011,Astellas
82,"May 26, 2021",Updated “Strategic Plan” Section,Click below for a copy of the full press release,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/23986,Astellas
83,"May 26, 2021",Astellas Announces New Corporate Strategic Plan 2021,Follow us on social media,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/16956,Astellas
84,"May 20, 2021",Astellas and Seagen Announce Updated Results from Two Trials of PADCEV® (enfortumab vedotin-ejfv) in Patients with Locally Advanced or Metastatic Urothelial Cancer Not Eligible for Cisplatin Chemotherapy,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/16926,Astellas
85,"May 18, 2021",Astellas to Present Data from Expanding Oncology Portfolio During the 2021 ASCO Annual Meeting,,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/16921,Astellas
86,"May 14, 2021","Japan’s Ministry of Health, Labour and Welfare Grants Priority Review for Enfortumab Vedotin New Drug Application",Our determination is for each patient to overcome their disease and once again smile from the bottom of their heart.,https://www.astellas.com/system/files/2017-01/global.png,https://www.astellas.com/en/news/16916,Astellas
