Ministry,Division,Organization,Procuring_Entity_Name,Procuring_Entity_Code,Procuring_Entity_District,Procurement_Nature,Procurement_Type,Event_Type,Invitation_for,Invitation_Reference_No,Tender_Proposal_Status,App_ID,Tender_Proposal_ID,Procurement_Method,Budget_Type,Source_of_Funds,Project_Code,Project_Name,Tender_Proposal_Package_No_and_Description,Category,Scheduled_Tender_Proposal_Publication_Date_and_Time,Tender_Proposal_Document_last_selling_downloading_Date_and_Time,Pre_Tender_Proposal_meeting_Start_Date_and_Time,Pre_Tender_Proposal_meeting_End_Date_and_Time,Tender_Proposal_Closing_Date_and_Time,Tender_Proposal_Opening_Date_and_Time,Last_Date_and_Time_for_Tender_Proposal_Security_Submission,Eligibility_of_Tenderer,Brief_Description_of_Works,Evaluation_Type,Document_Available,Document_Fees,Tender_Proposal_Document_Price_In_BDT,Mode_of_Payment,Tender_Proposal_Security_Valid_Up_to,Tender_Proposal_Valid_Up_to,Name_of_Official_Inviting_Tender_Proposal,Designation_of_Official_Inviting_Tender_Proposal,Address,City,Thana,District,Country,Phone_No,Fax_No,url
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,Dhaka Water Supply and Sewerage Authority (DWASA),"Office of the EE, SWTP (operation) Division, Dhaka WASA",430,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,46.05.0000.430.07.016.22,Live,176293,712898,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,SWTP-1 G-6 Supply of Automation spare parts & Related services for Dividing chamber.,"Electronic, electromechanical and electrotechnical supplies; Electrical machinery, apparatus, equipment and consumables;Electronic equipment;Electromechanical equipment;Electrotechnical equipment",26-Jun-2022 16:00,17-Jul-2022 14:00,27-Jun-2022 10:00,27-Jun-2022 11:00,18-Jul-2022 10:00,18-Jul-2022 10:00,17-Jul-2022 16:00,As Per TDS,Supply of Automation spare parts & Related services for Dividing chamber.,Lot wise,Package wise,Package wise,1000,Payment through Bank,13-Nov-2022,16-Oct-2022,Md. Abid Hossain,Executive Engineer (CC),"Saidabad Water Treatment Plant (Operation), Dhalpur",Dhaka,Jatrabari,Dhaka - 1204,Bangladesh,02-7548147,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),TSP Complex Ltd.(Commercial),,Chattogram,Goods,NCT,TENDER,Tender - Single Lot,36.01.1565.673.07.051.22/RT/Inst.-32/21-22/1417,Live,176336,713532,One stage Two Envelopes Tendering Method (OSTETM),Own Fund,Own Fund,Not applicable,Not applicable,36.01.1565.673.07.051.22/RT/Inst.-32/21-22/1417 Instrument goods (2 Item),"Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.",26-Jun-2022 16:00,17-Jul-2022 16:00,27-Jun-2022 10:00,04-Jul-2022 15:00,18-Jul-2022 10:30,18-Jul-2022 10:30,18-Jul-2022 10:15,"1. Up to date trade license, TIN Certificate, Vat, Reg. Certificate, Bank solvency. 2. All documents, Catalogue must be submitted by the bidder with the technical offer in English Language. 3. Price quotation should contain unit price of Instrument Goods. 4. Brand, Model No. with suffix, Name of the Manufacturer Manufacturing Country & detail technical Specification must be mentioned in Letter head pad with the technical offer. 5. Installation, Operation Maintenance & Troublleshooting Manual must be submitted along with supply of the goods. 6. Bidder must be responsible for testing of Supplied items in the inside of TSPCL. 7. Detail as per TDS.",Instrument goods,Lot wise,Package wise,Package wise,500,Payment through Bank,13-Nov-2022,16-Oct-2022,Md. Abdul Momin Sarker,Deputy General Manager(Com),"General Manager (Commercial), North Patenga, Chattogram-4204.",Chattogram,Patenga,Chattogram - 4204,Bangladesh,031-2500545,031-2500457,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),TSP Complex Ltd.(Commercial),,Chattogram,Goods,NCT,TENDER,Tender - Single Lot,36.01.1565.673.07.058.22/I and S-4/21-22/1413,Live,176336,713327,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,36.01.1565.673.07.058.22/I and S-4/21-22/1413 M.S.Pipe (8 Item),"Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.",26-Jun-2022 16:00,17-Jul-2022 16:00,27-Jun-2022 11:00,04-Jul-2022 16:00,18-Jul-2022 11:00,18-Jul-2022 11:00,18-Jul-2022 10:45,"1. Up to date trade license, TIN Certificate, Vat, Reg. Certificate, Bank solvency. 2. Price quotation should contain unit price of M.S.Pipe & Bend (8 Item) 3.Tender Evaluation will be made on Total lowest basis. 4. Sample Should be approved before supply. 5. Bidder must supply goods as per user departments demand. 6. All Item ship stock good condition and Item No. (1 - 4 MS Pipe) Length minimum 15 Feet. 5. Detail as per TDS.",M.S.Pipe (8 Item),Lot wise,Package wise,Package wise,1000,Payment through Bank,13-Nov-2022,16-Oct-2022,Md. Abdul Momin Sarker,Deputy General Manager(Com),"General Manager (Commercial), North Patenga, Chattogram-4204.",Chattogram,Patenga,Chattogram - 4204,Bangladesh,031-2500545,031-2500457,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),TSP Complex Ltd.(Commercial),,Chattogram,Goods,NCT,TENDER,Tender - Single Lot,36.01.1565.673.07.057.22/Vehi-10/21-22/1412.,Live,176336,713293,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,36.01.1565.673.07.057.22/Vehi-10/21-22/1412. Insulation goods (6 Item),"Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.",26-Jun-2022 16:00,17-Jul-2022 16:00,27-Jun-2022 11:00,04-Jul-2022 15:00,18-Jul-2022 11:30,18-Jul-2022 11:30,18-Jul-2022 11:15,"1. Up to date trade license, TIN Certificate, Vat, Reg. Certificate, Bank solvency. 2. Price quotation should contain unit price of Insulation goods (6 Item) 3.Tender Evaluation will be made on Total lowest basis. 4. Sample Should be approved before supply. 5. Bidder must supply goods as per user departments demand. 5. Detail as per TDS.",Insulation goods (6 Item),Lot wise,Package wise,Package wise,1000,Payment through Bank,13-Nov-2022,16-Oct-2022,Md. Abdul Momin Sarker,Deputy General Manager(Com),"General Manager (Commercial), North Patenga, Chattogram-4204.",Chattogram,Patenga,Chattogram - 4204,Bangladesh,031-2500545,031-2500457,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),TSP Complex Ltd.(Commercial),,Chattogram,Goods,NCT,TENDER,Tender - Single Lot,36.01.1565.673.07.054.22/Office Equip-3/21-22/1381,Live,176336,710027,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,36.01.1565.673.07.054.22/Office Equip-3/21-22/1381 Printer Toner/Ink,"Office and computing machinery, equipment and supplies;Office machinery, equipment and supplies except computers;Word-processing machines;Photocopying and printing equipment;Post-office equipment;Calculating and accounting machines;Typewriters;Parts and accessories of typewriters and calculating machines;Various office equipment and supplies;Computer equipment and supplies;Data-processing machines;Digital cartography equipment;Computer hardware;Software;Computer systems;Servers",26-Jun-2022 16:00,17-Jul-2022 16:00,27-Jun-2022 10:15,04-Jul-2022 16:00,18-Jul-2022 12:00,18-Jul-2022 12:00,18-Jul-2022 11:45,"1. Tenderer must submit up to date Trade License, VAT Registration Certificate, TIN Certificate , Bank Solvency Certificate. 2. Bidder must supply goods as per user departments demand. 3. Tenderer must mention Brand & Country of Origin. 4. Price quotation should contain unit price of Printer Toner/Ink .",Printer Toner/Ink,Lot wise,Package wise,Package wise,500,Payment through Bank,13-Nov-2022,16-Oct-2022,Md. Abdul Momin Sarker,Deputy General Manager(Com),"General Manager (Commercial), North Patenga, Chattogram-4204.",Chattogram,Patenga,Chattogram - 4204,Bangladesh,031-2500545,031-2500457,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Industries,,Bangladesh Chemical Industries Corporation (BCIC),TSP Complex Ltd.(Commercial),,Chattogram,Goods,NCT,TENDER,Tender - Single Lot,36.01.1565.673.07.043.22/RT/Civil-3/21-22/1425,Live,176336,714132,Open Tendering Method (OTM),Own Fund,Own Fund,Not applicable,Not applicable,36.01.1565.673.07.043.22/Civil-3/21-22/1318 ' J ' & ' L ' Hook,"Machinery, equipment, appliances, apparatus and associated products;Machinery for the production and use of mechanical power;Turbines and motors;Pumps and compressors;Taps, cocks, valves and similar appliances;Gears, gearing and driving elements;General-purpose machinery;Industrial or laboratory furnaces, incinerators and ovens;Lifting and handling equipment and parts;Cooling and ventilation equipment;Miscellaneous general-purpose machinery;Agricultural, horticultural and forestry machinery;Agricultural and forestry machinery for soil preparation or cultivation;Harvesting machinery;Spraying machinery for agriculture or horticulture;Self-loading or unloading trailers and semi-trailers for agriculture;Specialist agricultural or forestry machinery;Tractors;Parts of agricultural and forestry machinery;Machine tools;Machine tools operated by laser and machining centres;Lathes, boring and milling machine tools;Metal-working machine tools;Machine tools for working hard materials except metals;Pneumatic or motorised hand tools;Soldering, brazing and welding tools, surface tempering and hot-spraying machines and equipment;Parts and accessories of machine tools;Special-purpose machinery and parts;Machinery for metallurgy and associated parts;Machinery for mining, quarrying and construction;Machinery for food, beverage and tobacco processing and associated parts;Machinery for textile, apparel and leather production;Machinery for paper or paperboard production;Miscellaneous special-purpose machinery;Weapons, ammunition and associated parts;Motorised tanks and armoured fighting vehicles;Military weapons;Firearms;Ammunition;Parts of military weapons;Truncheons or night sticks;Domestic appliances;Electrical domestic appliances;Non-electric domestic appliances;Miscellaneous equipment;Transport related equipment;Workshop equipment;Construction equipment;Catering equipment;Emergency and security equipment;Technical equipment;Miscellaneous equipment n.e.c.",26-Jun-2022 16:00,17-Jul-2022 16:00,27-Jun-2022 10:00,04-Jul-2022 16:00,18-Jul-2022 12:30,18-Jul-2022 12:30,18-Jul-2022 12:15,"1. Up to date trade license, TIN Certificate, Vat, Reg. Certificate, Bank solvency. 2. Price quotation should contain unit price of ' J ' & ' L ' Hook 3.Tender Evaluation will be made on Total lowest basis. 4. Sample Should be approved before supply. 5.Bidder must supply goods as per user departments demand.",' J ' & ' L ' Hook,Lot wise,Package wise,Package wise,500,Payment through Bank,13-Nov-2022,16-Oct-2022,Md. Abdul Momin Sarker,Deputy General Manager(Com),"General Manager (Commercial), North Patenga, Chattogram-4204.",Chattogram,Patenga,Chattogram - 4204,Bangladesh,031-2500545,031-2500457,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Local Government, Rural Development and Co-operatives",Local Government Division,Department of Public Health Engineering (DPHE),"Office of the Mayor, Goalanda Pourashava, Rajbari",,Rajbari,Works,NCT,TENDER,Tender - Single Lot,Goal/Pou/BMWSSP/2022/97;date-20.06.2022,Live,182367,713143,Open Tendering Method (OTM),Development,"Government, Aid or Grant",224293500,Bangladesh Municipal Water Supply and Sanitation Project (30 Pourashavas).,"BMWSSP/WD- 17 Installation of Distribution Pipeline and House Connection of Goalanda Pourashava, Rajbari","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",26-Jun-2022 16:00,17-Jul-2022 17:00,27-Jun-2022 09:00,14-Jul-2022 17:00,18-Jul-2022 15:00,18-Jul-2022 15:00,18-Jul-2022 12:00,As Mentioned in the data sheet of tender document,Installation of Distribution Pipeline and House Connection of Goalanda Pourashava,Lot wise,Package wise,Package wise,4000,Payment through Bank,13-Nov-2022,16-Oct-2022,Md. Fardous Alam Khan,Executive Engineer,"Office of the Mayor Goalanda Pourashava, Rajbari City Goalanda Thana Goalanda District Rajbari - 7700",Goalanda,Goalanda,Rajbari - 7700,Bangladesh,06-42356244,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
"Ministry of Energy, Power and Minearal Resources",Power Division,Power Grid Company of Bangladesh Ltd. (PGCB),Procurement & Store,001,Dhaka,Goods,NCT,TENDER,Tender - Single Lot,27.21.0000.406.07.002.21.1587 Date 17.11.2021,Live,178170,629429,One stage Two Envelopes Tendering Method (OSTETM),Own Fund,Own Fund,Not applicable,Not applicable,"PnS/2021-2022/01 Procurement of Multi-functional Programmable Energy Meter for System Protection & Metering Circle (SPMC), PGCB.",Electrical parts of machinery or apparatus; Electrical equipment and apparatus; Electrical supplies and accessories;,26-Jun-2022 16:00,27-Jul-2022 13:00,27-Jun-2022 10:30,04-Jul-2022 10:30,27-Jul-2022 15:00,27-Jul-2022 15:00,27-Jul-2022 14:00,"a) General Experience: The Tenderer shall have a minimum of: 1) For Supplier: Five (05) years experience in the Supply of Electrical Goods/Equipment. In this connection, supply record, certificates for supply of those equipment shall have to be submitted by the bidders. 2) For Manufacturer: Ten (10) years of production record for similar types of energy meters. In this connection, supply record in manufacturer s letter head pad for similar types of energy meters have to be submitted, mentioning the contract references, delivery date etc. b)Specific Experience: The Tenderer shall have : 1) The satisfactory completion of supply for 11KV or higher voltage system of protective equipment/energy meter/multifunction panel meter and related services of minimum BDT 1,50,00,000.00 ( Taka One crore Fifty Lac) under maximum one (01) contract as the prime contractor in Govt/Semi govt/ Autonomous/Public limited electricity company of Bangladesh in the last five (05) of years. c) Production Capacity/ Supply Record of manufacturer: 1) The minimum supply record of manufacturer for offered types of energy meters- Multi-functional Programmable Energy Meter with power quality monitoring: at least 10 (Ten) nos in the last five (05) years & Multi-functional Programmable Energy Meter without power quality monitoring: at least 50 (Fifty) nos in the last ten (10) years in the network of 132kV or above voltage level. 2) Manufacturer shall submit at least three (03) years performance/ end user certificate from at least three (03) users demonstrating successful performance of each offered type of energy meters in grid system of 132kV and above in end user s letter head pad within the last ten (10) years .","Procurement of Multi-functional Programmable Energy Meter for System Protection & Metering Circle (SPMC), PGCB.",Lot wise,Package wise,Package wise,2000,Payment through Bank,22-Dec-2022,24-Nov-2022,Shamsun Naher,Superintendent Engineer,"PGCB Bhaban, Jahirul Islam City, Avenue-3, Aftab Nagar",Dhaka,Badda,Dhaka - 1212,Bangladesh,02-55046731,02-55046722,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Housing and Public Works,,Public Works Department (PWD),Naogaon pwd division,,Naogaon,Works,NCT,TENDER,Tender - Single Lot,PWD_Naoga/ New6 TVI/POT-OTM-5/2021-2022,Live,185069,712593,Open Tendering Method (OTM),Development,Government,224284200 /textile/1st revised,Development of Existing 7 Textile Vocational Institute and Establishment of new 6 Textile Vocational Institute (1st revised),"PWD_Naoga/ New6 TVI/Pot/OTM-5/2021-2022 Construction of Textile Vocational Institute ( 4- Storied Building with 4 -storied Foundation ) at Patnitola ,Naogaon Under The Project of Development of Existing 7 Textile Vocational Institute and Establishment of new 6 Textile Vocational Institute (1st revised).","Construction work;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator",26-Jun-2022 15:30,25-Jul-2022 17:00,26-Jun-2022 16:00,28-Jun-2022 17:00,26-Jul-2022 11:00,26-Jul-2022 11:00,25-Jul-2022 17:00,"All Tenderers of Govt./Semi Govt/Autonomous bodies are Eligible having following qualifications/capacities. 1. Reputed Contractors/ Construction firms/Suppliers who have minimum 5 (Five) years of general experience. 2. Having experience in successful completion/execution of at least 1 (One) number of RCC Building construction works including Civil , Sanitary, Electrical works not less than Tk. 1000.00 Lakhs only in a single tender in Govt./Semi Govt . /Autonomous Organization of Bangladesh during last 5 ( Five ) years. 3. The tenderer must have a minimum average annual construction turnover of Tk.1500.00 Lakhs over the last 5 ( Five ) years. 4. The tenderer must have a minimum liquid assets/cash flow capacity of Tk. 300.00 Lakhs. 5. The tenderer must have a minimum tender capacity of Tk.1300.00 Lakhs. 6. The tenderer must possess; i) Up-to-date income tax clearance certificate. ii) Valid VAT registration certificate. iii) Up-to-date trade license. iv) Up-to-date ABC category contractor and supervisory license from Electricity Licensing Board, Government of Bangladesh. v) All other conditions as mentioned in (Section-2 & Section-4) of tender documents must be fulfilled. 7.The contractor is not subject to price adjustment.In running bill(s) contractor will be paid for individual item as per official estimated rate or quoted rate whichever is less.","Construction of Textile Vocational Institute ( 4- Storied Building with 4 -storied Foundation ) at Patnitola ,Naogaon Under The Project of Development of Existing 7 Textile Vocational Institute and Establishment of new 6 Textile Vocational Institute (1st revised).",Lot wise,Package wise,Package wise,4000,Payment through Bank,23-Aug-2023,26-Jul-2023,MD. AL MAMUN HAQUE,Executive Engineer,"Naogaon pwd division ,Naogaon",Naogaon,Naogaon,Naogaon - 6500,Bangladesh,0741-62414,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
Ministry of Road Transport and Bridges,Road Transport and Highways Division,Roads & Highways Department (RHD),Faridpur Road Division,farRD,Faridpur,Works,NCT,TENDER,Tender - Single Lot,01/PMP Bridge/FRD/2021-2022(Re-tender),Live,179766,713741,Open Tendering Method (OTM),Revenue,Government,Not applicable,Not applicable,"01/PMP Bridge/FRD/2021-2022 Replacement of expansion joint and repair of steel members and connections of Gorai Bridge, Kamarkhali at 66th KM (p) of Daulatdia-Faridpur(Goalchamot)-Magura-Jhenaidah-Jashore-Khulna-Mongla(Digraj) National Highway (N-7) under Road Division, Faridpur during the year 2021-2022. Periodic Maintenance Program (Bridge Culvert)","Construction work; Repair, maintenance and installation services;Site preparation work;Building demolition and wrecking work and earthmoving work;Test drilling and boring work;Works for complete or part construction and civil engineering work;Building construction work;Engineering works and construction works;Construction work for pipelines, communication and power lines, for highways, roads, airfields and railways; flatwork;Construction work for water projects;Construction works for plants, mining and manufacturing and for buildings relating to the oil and gas industry;Roof works and other special trade construction works;Building installation work;Electrical installation work;Insulation work;Plumbing and sanitary works;Fencing, railing and safety equipment installation work;Mechanical installations;Building completion work;Plastering work;Joinery and carpentry installation work;Floor and wall covering work;Painting and glazing work;Other building completion work;Hire of construction and civil engineering machinery and equipment with operator;Hire of cranes with operator;Hire of earthmoving equipment with operator;Repair, maintenance and associated services of vehicles and related equipment;Repair and maintenance services of motor vehicles and associated equipment;Demolition services of vehicles;Repair, maintenance and associated services related to aircraft, railways, roads and marine equipment;Repair, maintenance and associated services related to aircraft and other equipment;Repair, maintenance and associated services related to railways and other equipment;Repair, maintenance and associated services related to roads and other equipment;Repair, maintenance and associated services related to marine and other equipment;Repair, maintenance and associated services related to personal computers, office equipment, telecommunications and audio-visual equipment;Maintenance and repair of office machinery;Repair and maintenance services of personal computers;Maintenance services of telecommunications equipment;Repair and maintenance services of audio-visual and optical equipment;Repair and maintenance services of medical and precision equipment;Repair and maintenance services of measuring, testing and checking apparatus;Repair and maintenance services of medical and surgical equipment;Repair and maintenance services of precision equipment;Repair and maintenance services for pumps, valves, taps and metal containers and machinery;Repair and maintenance services of pumps, valves, taps and metal containers;Repair and maintenance services of machinery;Repair and maintenance services of building installations;Repair and maintenance services of electrical and mechanical building installations;Repair and maintenance services of central heating;Repair and maintenance services of cooler groups;Repair and maintenance services of escalators;Lift-maintenance services;Miscellaneous repair and maintenance services;Repair services of jewellery;Repair services of leather personal goods;Repair services of garments and textiles;Repair and maintenance services of weapons and weapon systems;Repair and maintenance services of furniture;Repair and maintenance services of musical instruments;Repair and maintenance services of playground equipment;Repair and maintenance services of hotel and restaurant equipment;Installation services;Installation services of electrical and mechanical equipment;Installation services of equipment for measuring, checking, testing and navigating;Installation services of communications equipment;Installation services of medical and surgical equipment;Installation services of machinery and equipment;Installation services of computers and office equipment;Installation services of metal containers",26-Jun-2022 15:05,17-Jul-2022 17:00,26-Jun-2022 15:30,26-Jun-2022 17:00,18-Jul-2022 11:00,18-Jul-2022 11:00,18-Jul-2022 10:00,"1. All tenderer(s) registered in e-GP are eligible to participate in the tender if they are otherwise qualified. 2. The tenderer(s) must fulfill the following requirements. a) A minimum general construction experience of 3 (Three) yearswill be counted backward from the date of publication of IFT in the newspaper. b) For specific experience as a satisfactory completion of similar nature single work for retrofitting works (New construction work will not be counted as retrofitting works) of at least Tk 100.00 (One hundred) lac under single number of contract over a period of 3.00 (Three) years shall be required, 3(Three) years will be counted backward from the date of publication of IFT in the newspaper. c) The required average annual construction turnover shall be greater than Tk 120.00 (One hundred and twenty) lac over the best 3 (three) years in the last 5 (three) years. d) Minimum Liquid asset of Taka 50.00 (Fifty) Lac is required. e) The minimum tender capacity shall be: Tk 120.00 (One hundred and twenty) lac. f) All tenderers must submit list of project personnel and equipment list. g) Tenderer shall submit with its Tender, the following additional documents: i. Renewable Trade License ii. VAT Reg. Certificate. iii. Renewable/Current TIN Certificate iv. National ID card and v. Authorization Letter of Tenderer. h) All other criteria stated in the TDS. 3. All Tenderers should submit the full name of their firm. 4. A tenderer not having sufficient information in the TDMS system may be evaluated as ineligible. All tenderer(s) registered in e-GP are eligible to participate in the tender provided that they are qualified as per Qualification Criteria Specified in the Tender Data Sheet (TDS) of the Tender Document. Tenderer shall be rejected if the quoted price is more or less than 10 (Ten) percent of the total est","Replacement of expansion joint and repair of steel members and connections of Gorai Bridge, Kamarkhali at 66th KM (p) of Daulatdia-Faridpur(Goalchamot)-Magura-Jhenaidah-Jashore-Khulna-Mongla(Digraj) National Highway (N-7) under Road Division, Faridpur during the year 2021-2022. Periodic Maintenance Program (Bridge Culvert)",Lot wise,Package wise,Package wise,3000,Payment through Bank,13-Dec-2022,15-Nov-2022,Md. Imran Farhan Sumel,Executive Engineer,"Faridpur Road Division, Sarak Bhaban, Faridpur",Faridpur,Sadar,Faridpur - 0001,Bangladesh,0631-63256,,https://www.eprocure.gov.bd/resources/common/AllTenders.jsp?h=t
