Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
"Procurement of Equipment, Kits, Fittings, Fixtures, Furniture and Instalaltion of Digital Stem Laboratory",MINISTRY OF EDUCATION,ocds-5q8fsw-6202273277868,"₦60,067,452.54",KATCHEY COMPANY LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",35,2022,Newly Awarded,,"Tuesday, June 28, 2022",2022-06-29,Unspecified
"Renovation of roof, painting of offices and replacement of the old iron window of the Ministry.",MINISTRY OF EDUCATION,ocds-5q8fsw-6202248775542,"₦29,035,323.37",DE FLOURISHING GREENPALMS NIGERIA LIMITED,Private Organization,,0,2022,Newly Awarded,,"Tuesday, June 21, 2022",2022-06-29,"IKEJA, LAGOS"
"CONSTRUCTION OF DRAIN TO DEFLOOD FEMI AYANTUGA STREET, SURULERE",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202217384454,"₦55,517,523.69",ABITUNE GLOBAL RESOURCES LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",35,2021,ONGOING,ONGOING,"Wednesday, December 22, 2021",2022-06-28,SURULERE LAGOS
"CONSTRUCTION OF DRAIN AT OYE ELEGUNDE/IGE, OJOKRO LCDA",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202236613156,"₦99,374,407.31",CONTINUUM CONSTRUCTION NIGERIA LIMITED.,Private Organization,"₦100,000,001 to ₦200,000,000",38,2021,ONGOING,ONGOING,"Wednesday, December 22, 2021",2022-06-28,OJOKORO
"CONSTRUCTION OF RECTANGULAR DRAIN/ CULVERTS AT SIJUADE STREET, AGBADO, OKE ODO, LCDA.",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202230750752,"₦180,499,997.59",JRB CONSTRUCTIONS CO. LTD.,Private Organization,"₦100,000,001 to ₦200,000,000",36,2021,ONGOING,ONGOING,"Friday, October 8, 2021",2022-06-28,"AGBADO, OKE ODO, LCDA."
"CONSTRUCTION OF CHEVRON-SOLUYICHANNEL, GBAGADA",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202260613836,"₦53,328,996.68",R.O.B. CONSTRUCTION & ENGINEERING TECH NIG. LTD.,Private Organization,"₦250,000,001 and above",43,2021,ONGOING,ONGOING,"Wednesday, September 29, 2021",2022-06-28,GBAGADA
"CONSTRUCTION OF OUTFALL CHANNEL AT CH O + 825 FOR SEKUMADE ROAD, IKORODU.",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202286077380,"₦222,583,405.83",BAVURASHIELD NIGERIA LIMITED.,Private Organization,"₦250,000,001 and above",45,2021,ONGOING,ONGOING,"Monday, September 20, 2021",2022-06-28,IKORODU
CONSTRUCTION OF ADIO MUMUNI BADMUS COLLECTOR DRAIN.,OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202234208774,"₦276,620,754.40",GTOJ CONSTRUCTION & PLANTS LTD.,Private Organization,"₦250,000,001 and above",43,2021,ONGOING,ONGOING,"Monday, September 20, 2021",2022-06-28,LAGOS STATE
"Construction of Ijegun Imore Collector Drain, Satellite Town",OFFICE OF DRAINAGE SERVICES & WATER  RESOURCES,ocds-5q8fsw-6202227246104,"₦186,614,378.83",RCUBIX LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Wednesday, May 5, 2021",2022-06-28,"Satellite Town, LAGOS"
Automation of the Lagos State Unified Scheme of Work and Approved Booklists.,MINISTRY OF EDUCATION,ocds-5q8fsw-6202236485217,"₦52,830,000.00",GIBRALTAR TECHNOLOGIES,Private Organization,"₦50,000,001 to ₦100,000,000",32,2021,ONGOING,ONGOING,"Tuesday, November 16, 2021",2022-06-28,LAGOS STATE
"Renovation of Multi-Lingual Centre at Mainland Senior High School, Jibowu, Yaba",MINISTRY OF EDUCATION,ocds-5q8fsw-6202222375056,"₦79,766,802.78",ROAD MAKERS & BUILDERS INTEGRATED LTD.,Private Organization,"₦50,000,001 to ₦100,000,000",35,2021,ONGOING,ONGOING,"Tuesday, September 14, 2021",2022-06-28,YABA
Procurement of Lego (Robotics) Kits for Senior Secondary Schools in Lagos State.,MINISTRY OF EDUCATION,ocds-5q8fsw-6202283173485,"₦10,000,000.00",WEBLINK TECHNOLOGIES,Private Organization,"₦25,000,001 to ₦50,000,000",26,2021,ONGOING,,"Thursday, September 2, 2021",2022-06-28,LAGOS STATE
"Consruction of Oba Tajudeen Elemoro Road, (Part of ) By Area J Police Command Elemoro, Ibeju-Lekki Local Government Area.",MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202201477853,"₦307,084,941.45",FECHRAD NIGERIA LIMITED,Private Organization,"₦250,000,001 and above",54,2021,ONGOING,ONGOING,"Thursday, August 12, 2021",2022-06-23,Ibeju-Lekki
Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja AND Ikorodu,MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202274142356,"₦10,421,941.53",AMO EXCEL ENTERPRISES,Private Organization,,0,2021,ONGOING,ONGOING,"Thursday, September 30, 2021",2022-06-23,Ikeja AND Ikorodu
Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja GRA and Gbagada,MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202250343213,"₦19,403,332.04",HEAVEN'S GATE EMGINEERING & CONSTRUCTION LTD,Private Organization,"₦50,000,001 to ₦100,000,000",35,2021,ONGOING,NEW AWARD,"Wednesday, August 18, 2021",2022-06-23,Ikeja GRA and Gbagada
Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja GRA and Gbagada,MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202280031422,"₦19,927,819.87",DAYCLAR GLOBAL VENTURES LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",32,2021,ONGOING,,"Wednesday, August 18, 2021",2022-06-23,Ikeja GRA and Gbagada
Renovation/Maintenance of Staff Quarters YR2021 located in Ikorodu and Surulere,MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202230801866,"₦14,585,503.62",VIDAF DEVELOPMENT COMPANY LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",34,2021,ONGOING,ONGOING,"Wednesday, August 18, 2021",2022-06-23,Ikorodu and Surulere
"Renovation/Maintenance of Staff Quarters YR2021 located in Ikeja, Ogba and Ijaiye",MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202250067655,"₦13,700,988.02",MODEHOUSE PROJEKTS LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",35,2021,ONGOING,ONGOING,"Wednesday, August 18, 2021",2022-06-23,"Ikeja, Ogba and Ijaiye"
Renovation/Maintenance of Staff Quarters YR2021 located in Alausa,MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202285302675,"₦17,472,437.52",MODEHOUSE PROJEKTS LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",35,2021,ONGOING,NEW AWARD,"Wednesday, August 18, 2021",2022-06-23,ALAUSA
Renovation/Maintenance of Staff Quarters YR2021 located in Alausa and Ikeja GRA,MINISTRY OF WORKS &INFRASTRUCTURE,ocds-5q8fsw-6202277255063,"₦26,448,959.51",EMMATOM INVESTMENT LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",45,2021,ongoing,,"Wednesday, August 18, 2021",2022-06-23,IKEJA
Consultancy Services for Operational Preparedness Plan for Lagos Rail Mass Transit (LRMT) Blue Line Rail Project Phase 1 (Mile 2 to Marina),LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202267147502,"₦24,525,000.00",TRIPLE O GALLERY,Private Organization,"₦25,000,001 to ₦50,000,000",30,2022,ONGOING,,"Thursday, March 24, 2022",2022-06-20,"MILE 2, LAGOS"
STAKEHOLDERS' FORUM FOR IKEJA CENTRAL BUSINESS DISTRICTS,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202254814186,"₦10,000,000.00",D' CREATIVE DEVELOPMENT VENTURES,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, May 26, 2021",2022-06-20,IKEJA
SUPPLY OF EXECUTIVE CONFERENCE BAGS AND STATIONERIES FOR RETREAT,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202261143046,"₦757,064.00",NISREL CONSULTING,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, May 26, 2021",2022-06-20,LAGOS
PROCUREMENT OF OPERATIONAL VEHICLES FOR CBD OPERATIONS,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202262732180,"₦292,427,341.00",TOPDEL ENGINEERING LTD,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, July 28, 2021",2022-06-20,IKEJA
"Consultancy Services for the Preparation of ESIA (with ESMP) and RAP for Quality Bus Corridor Package 4 (Ile Iwe – Ile Epo, CMD Road – Ketu and Command – Abule Egba)",LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202252140420,"₦101,797,470.00",SUSTAINABILITI LIMITED,Private Organization,"₦50,000,001 to ₦100,000,000",50,2022,ONGOING,,"Thursday, March 3, 2022",2022-06-20,"KETU, LAGOS"
Consultancy Services for Provision of Security Services along Mile 12-Ikorodu BRT Corridor - Lot 3 (South Bound),LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202278822625,"₦52,167,780.00",PERFECT SECURITY SERVICES LIMITED,Private Organization,"₦10,000,001 to ₦25,000,000",30,2022,ONGOING,,"Friday, February 4, 2022",2022-06-20,"MILE 12, LAGOS"
Renewal of Consultancy Services for Provision of Security Services along Mile 12-Ikorodu BRT Corridor - Lot 2 (North Bound),LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202205418717,"₦66,079,188.00",LAI SECURITY AND INVESTIGATION SERVICES LIMITED,Private Organization,"₦10,000,001 to ₦25,000,000",30,2022,ONGOING,,"Friday, February 4, 2022",2022-06-20,"MILE 12, LAGOS"
Renewal of Consultancy Services for Provision of Security Services along Mile 12-TBS BRT Corridor - Lot 1,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202244680686,"₦141,628,250.00",KAYESTHER SECURITY COMPANY LIMITED,Private Organization,"₦10,000,001 to ₦25,000,000",30,2022,ON-GOING,,"Friday, February 4, 2022",2022-06-20,LAGOS
"Renewal of Legal Advisory Service and Solicitor to LAMATA for the Lagos State Bus Reform Project, the Blue and Red Line Rail Projects",LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202204576735,"₦63,750,000.00",OLAJIDE OYEWOLE LLP,Private Organization,,0,2022,ONGOING,,"Thursday, January 20, 2022",2022-06-20,LAGOS
Consultancy Services for the Preparation of ESIA and RAP Studies and Implementation of RAP for Iyana Ipaja Bus Terminal Development,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202257225572,"₦58,931,870.16",GLOBAL IMPACT ENVIRONMENTAL CONSULTING LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",30,2022,ON-GOING,,"Thursday, January 14, 2021",2022-06-20,"IYANA IPAJA, LAGOS"
Road Safety Improvement on Bus Rapid Transport (BRT) Corridors from Ikorodu to TBS and Abule Egba to Oshodi,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202228120225,"₦189,759,200.00",DEPENDABLE PRINTS LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",30,2021,COMPLETED,,"Tuesday, December 14, 2021",2022-06-20,oshodi - abule egba
"Consultancy Services for the Feasibility Study for the Green, Orange, Yellow and Purple Railway Line Concession and Revalidation of Feasibility Study for the Blue Line",LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202215087760,"₦709,830,811.87",CPCS TRANSCOM NIGERIA LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",50,2021,ONGOING,,"Monday, December 13, 2021",2022-06-20,LAGOS
Provision of Security Services along Oshodi - Abule Egba BRT Corridor,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202262670046,"₦42,650,921.70",KAYESTHER SECURITY COMPANY LIMITED,Private Organization,"₦10,000,001 to ₦25,000,000",30,2021,ONGOING,,"Friday, November 19, 2021",2022-06-20,oshodi - abule egba
SUPPLY OF UNIFORMS FOR CENTRAL BUSINESS DISTRICTS MONITORING AND AD-HOC STAFF,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202234522405,"₦8,397,900.00",D' CREATIVE DEVELOPMENT VENTURES,Private Organization,,0,2021,COMPLETED,COMPLETED,"Friday, October 22, 2021",2022-06-20,IKEJA
Facility Management of Yaba Bus Terminal,LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202270626168,"₦187,099,800.00",SUPER CLEANING AND FACILITIES MANAGEMENT LIMITED,Private Organization,"₦5,000,001 to ₦10,000,000",40,2021,ON-GOING,,"Wednesday, October 20, 2021",2022-06-20,"YABA, LAGOS"
"RENOVATION OF SPECIAL ADVISER’S OFFICE, ANTE ROOM, KITCHENETTE AND GENERAL TOILET OF CENTRAL BUSINESS DISTRICTS",CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202268142478,"₦8,086,825.15",TOPDEL ENGINEERING LTD,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, November 30, 2021",2022-06-20,IKEJA
RENOVATION OF CENTRAL BUSINESS OFFICE ALAUSA SECRETARIAT (ROOM 205 – 208 WITH LOBBY),CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202241702315,"₦9,785,338.10",TOPDEL ENGINEERING LTD,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, November 30, 2021",2022-06-20,ALAUSA
"INSTALLATION OF SIREN, FLASH LIGHTS & COMMUNICATION RADIO, BUILDING OF BACK COVER, BRANDING AND ACCESSORIES FOR 5 PICKUP",CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202286410302,"₦6,200,000.00",TOPDEL ENGINEERING LTD,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, December 15, 2021",2022-06-20,IKEJA
SUPPLY OF RAIN COATS AND BOOTS,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202248485847,"₦3,022,500.00",D' CREATIVE DEVELOPMENT VENTURES,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, May 26, 2021",2022-06-20,LAGOS
RENOVATION OF LAGOS ISLAND OPERATION OFFICE VANDALISED DURING THE ENDSARS PROTEST,CENTRAL BUSINESS DISTRICT,ocds-5q8fsw-6202250185621,"₦19,966,567.29",TOPDEL ENGINEERING LTD,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-20,Unspecified
"Construction of Judges' and Magistrates' Quarters Epe, Lagos",LAGOS STATE JUDICIARY,ocds-5q8fsw-6202237880578,"₦471,138,302.08",SLABS NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETED,"Friday, December 31, 2021",2022-06-20,EPE
"Renovation works of the Adminstrative block, Polaris Bank Building and Painting of Internal & External of High Court, Ikeja",LAGOS STATE JUDICIARY,ocds-5q8fsw-6202255621124,"₦99,838,334.38",ATLAS INFINITY RESOURCES LIMITED,Private Organization,,0,2021,COMPLETED,COMPLETED,"Thursday, August 5, 2021",2022-06-20,IKEJA
PROCUREMENT OF INNOVATIVE FINANCING DESK OFFICE,LAGOS STATE HEALTH MANAGEMENT AGENCY (LASHMA),ocds-5q8fsw-6202253305842,"₦6,000,000.00",SINBOL NIGERIA LTD,Private Organization,"₦50,000,001 to ₦100,000,000",34,2021,COMPLETED,,"Friday, July 30, 2021",2022-06-20,LAGOS
"Consultancy for Engagement of a Transaction Adviser to LAMATA on the Green, Orange, Yellow and Purple Railway Line Concession",LAGOS STATE METROPOLITAN AREA TRANSPORT AUTHORITY (LAMATA),ocds-5q8fsw-6202284722766,"₦2,210,000,000.00",FBNQUEST MERCHANT BANK LIMITED,Private Organization,"₦250,000,001 and above",200,2021,ON-GOING,,"Monday, May 10, 2021",2022-06-20,"IKEJA, LAGOS"
"""PROCUREMENT OF ACCOUNTING EXPENSES FOR YEAR 2021
 
 """,PRIMARY HEALTH CARE BOARD,ocds-5q8fsw-6202232450572,"₦1,789,000.00",RAWAQI LIMITED,Private Organization,"₦25,000,001 to ₦50,000,000",23,2021,COMPLETED,,"Thursday, September 23, 2021",2022-06-20,"YABA, LAGOS"
Procurement Of Customized Android Tablet for Quality Assurance Evaluator,OFFICE OF EDUCATION & QUALITY ASSURANCE,ocds-5q8fsw-6202242061207,"₦31,550,000.00",MIDPOINT VENTURES AND LOGISTICS,Private Organization,,0,2021,COMPLETED,,"Monday, August 16, 2021",2022-06-20,"IKEJA, LAGOS"
DEPLOYMENT OF METROPOLITAN REAL ESTATE MANAGEMENT SOLUTIONS (MREMS),MINISTRY OF HOUSING,ocds-5q8fsw-6202251241426,"₦52,886,230.00",CHAMS PLC,Private Organization,"₦25,000,001 to ₦50,000,000",32,2021,COMPLETED,,"Wednesday, October 6, 2021",2022-06-18,"ALAUSA, IKEJA"
5-Day Healthcare Service Operations Management Training for Healthcare Workers in the 27 Secondary Health Facilities,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202287638868,"₦47,620,000.00",HOWES CONSULTING GROUP,Private Organization,"₦10,000,001 to ₦25,000,000",24,2021,COMPLETED,,"Thursday, October 21, 2021",2022-06-18,"LAGOS ISLAND, LAGOS"
2-Day Health Service Commission Management Retreat,HEALTH SERVICE COMMISSION,ocds-5q8fsw-6202281457687,"₦14,528,125.00",OLANRENWAJU KAJOPELAY-OLA & CO.,Private Organization,"₦25,000,001 to ₦50,000,000",35,2021,COMPLETED,,"Wednesday, October 13, 2021",2022-06-18,"LAGOS ISLAND, LAGOS"
